locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	电磁感应	磁场；电动势；电导体
cmn-Latn-CN	diàncí gǎnyìng	diàndǎotǐ; diàndòngshì; cíchǎng
dan-Latn-DK		; ; 
deu-Latn-DE	Faradaysche Induktion, elektromagnetische Induktion	Magnetfeld [n]; elektrischer Leiter; elektromotorische Kraft
eng-Latn-US	electromagnetic induction, magnetic induction	electrical conductor; electromotance, electromotive force; magnetic field
fin-Latn-FI		; ; 
fra-Latn-FR	induction électromagnétique	; conducteur d’électricité; force électromotrice, électromotance
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	でんじゆうどう	じば、でんきでんどうたい; きでんりょく; じかい
jpn-Jpan-JP	電磁誘導	起電力；磁界、磁場；電気伝導体
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	электромагни́тная инду́кция	магни́тное по́ле; проводни́к; электродви́жущая си́ла
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
