locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	欧姆定律	；比例；电流
cmn-Latn-CN	Ōumǔ dìnglǜ	diànliú; bǐlì; 
dan-Latn-DK		; ; 
deu-Latn-DE	ohmsches Gesetz	; Proportionalität; elektrischer Strom
eng-Latn-US	Ohm’s law	electric current; proportionality; voltage
fin-Latn-FI		; ; 
fra-Latn-FR	loi [f] d’Ohm	; courant électrique; proportionnalité
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	オームのほうそく	でんりゅう; ひれい; 
jpn-Jpan-JP	オームの法則	；電流；比例
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR	قانون اُهم	؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	зако́н О́ма	; пропорциона́льными; электри́ческий ток, электрото́к
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
