locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	交流电	；电流
cmn-Latn-CN	jiāoliúdiàn	; diànliú
dan-Latn-DK		; 
deu-Latn-DE	Wechselstrom [m]	; elektrischer Strom
eng-Latn-US	alternating current	electric current; time
fin-Latn-FI		; 
fra-Latn-FR	courant alternatif	; courant électrique
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	こうりゅう	；でんりゅう
jpn-Jpan-JP	交流	；電流
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	переме́нный ток	; электри́ческий ток, электрото́к
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
