locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	电流密度向量	电流密度；矢量、向量
cmn-Latn-CN	diànliú mìdù xiàngliàng	diànliú mìdù; shǐliàng, xiàngliàng
dan-Latn-DK		; 
deu-Latn-DE		; Vektor
eng-Latn-US	current density vector	current density; vector
fin-Latn-FI		; 
fra-Latn-FR		; vecteur
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		でんりゅうみつど；ベクトル
jpn-Jpan-JP		電流密度；ベクトル
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; ве́ктор
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
