locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	直流电	；电流
cmn-Latn-CN	zhíliúdiàn	; diànliú
dan-Latn-DK		; 
deu-Latn-DE	Gleichstrom [m]	; elektrischer Strom
eng-Latn-US	direct current	electric current; time
fin-Latn-FI		; 
fra-Latn-FR	courant continu	; courant électrique
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ちょくりゅう	；でんりゅう
jpn-Jpan-JP	直流	；電流
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	однонапра́вленный ток, постоя́нный ток	; электри́ческий ток, электрото́к
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
