locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	浮力	；表面张力；力
cmn-Latn-CN	fúlì	lì; biǎomiàn zhānglì; 
dan-Latn-DK		; ; 
deu-Latn-DE	statischer Auftrieb	; Kraft [f]; Oberflächenspannung
eng-Latn-US	buoyancy, upthrust	force; surface tension; weight
fin-Latn-FI		; ; 
fra-Latn-FR	flottabilité	; force; tension superficielle
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ふりょく	ちから; ひょうめんちょうりょく; 
jpn-Jpan-JP	浮力	；力；表面張力
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	плаву́честь	; пове́рхностное натяже́ние; си́ла
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
