locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	杨氏模量	应变；应力
cmn-Latn-CN	Yángshì móliàng	yìngbiàn; yìnglì
dan-Latn-DK		; 
deu-Latn-DE	Dehnungsmodul [m], Young’scher Modul	Dehnung; Spannung
eng-Latn-US	Young’s modulus	strain; stress
fin-Latn-FI		; 
fra-Latn-FR	module [m] de Young, module [m] de traction, module [m] d’élasticité longitudinale	; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	たてだんせいけいすう、ヤングりつ	おうりょく; ひずみ
jpn-Jpan-JP	縦弾性係数、ヤング率	応力；ひずみ
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	мо́дуль Ю́нга, мо́дуль норма́льной упру́гости, мо́дуль продо́льной упру́гости	; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	E	
