locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	弯曲刚度	杨氏模量；振动
cmn-Latn-CN	wānqū gāngdù	Yángshì móliàng; zhèndòng
dan-Latn-DK		; 
deu-Latn-DE	Biegesteifigkeit	Dehnungsmodul [m], Young’scher Modul; Erschütterung, Vibration
eng-Latn-US	bending stiffness	Young’s modulus; vibration
fin-Latn-FI		; 
fra-Latn-FR		module [m] de Young, module [m] de traction, module [m] d’élasticité longitudinale; vibration
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		たてだんせいけいすう、ヤングりつ; しんどう
jpn-Jpan-JP		振動；縦弾性係数、ヤング率
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		вибра́ция; мо́дуль Ю́нга, мо́дуль норма́льной упру́гости, мо́дуль продо́льной упру́гости
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
