locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	压缩	；；；力
cmn-Latn-CN	yāsuō	; ; ; lì
dan-Latn-DK		; ; ; 
deu-Latn-DE	Kompression	; ; ; Kraft [f]
eng-Latn-US	compression	force; net force; net torque; structure
fin-Latn-FI		; ; ; 
fra-Latn-FR	compression	; ; ; force
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	あっしゅく	; ; ; ちから
jpn-Jpan-JP	圧縮	；；；力
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	сжа́тие	; ; ; си́ла
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
