locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	弹性	力；物理实体、物体
cmn-Latn-CN	tánxìng	lì; wùlǐ shítǐ, wùtǐ
dan-Latn-DK		; 
deu-Latn-DE	Elastizität	Kraft [f]; physikalischer Körper
eng-Latn-US	elasticity	force; physical body, physical object
fin-Latn-FI		; 
fra-Latn-FR	déformation élastique	corps [m] physique; force
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	だんせい	ちから；ぶったい
jpn-Jpan-JP	弾性	力；物体
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	упру́гость	си́ла; те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
