locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	正向力、支持力	；接触力
cmn-Latn-CN	zhèngxiànglì, zhīchílì	; jiēchùlì
dan-Latn-DK		; 
deu-Latn-DE	Normalkraft [f]	; Anpresskraft [f], Auflagekraft [f], Kontaktkraft [f]
eng-Latn-US	normal force	contact force; perpendicularity
fin-Latn-FI		; 
fra-Latn-FR		; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	すいちょくこうりょく	; 
jpn-Jpan-JP	垂直抗力	；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	норма́льная реа́кция опо́ры, си́ла норма́льной реа́кции	; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	bbF_n, vecF_n	
