locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	力的平行四边形	；力；平行四边形
cmn-Latn-CN	lì de píngxíng sìbiānxíng	; lì; píngxíng sìbiānxíng
dan-Latn-DK		; ; 
deu-Latn-DE	Kräfteparallelogramm [n]	; Kraft [f]; Parallelogramm [n]
eng-Latn-US	parallelogram of forces	force; parallelogram; vector addition
fin-Latn-FI		; ; 
fra-Latn-FR	parallélogramme [m] des forces [f-pl]	; force; parallélogramme [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ちからのへいこうしへんけい	; ちから; へいこうしへんけい
jpn-Jpan-JP	力の平行四辺形	；力；平行四辺形
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ مُتَوازی‌الاَضلاع
por-Latn-PT		; ; 
rus-Cyrl-RU	параллелогра́мм сил	; параллелогра́мм; си́ла
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
