locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	塑性	形变
cmn-Latn-CN	sùxìng	xíngbiàn
dan-Latn-DK		
deu-Latn-DE	Plastizität	Deformation, Verformung, Verzerrung
eng-Latn-US	plasticity	deformation
fin-Latn-FI		
fra-Latn-FR	plasticité	déformation des matériaux [m-pl]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	そせい	へんけい
jpn-Jpan-JP	塑性	変形
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пласти́чность	деформа́ция
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
