locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	负荷、荷载、结构荷重、载荷、载重	开普勒第一定律、轨道定律、椭圆定律；结构构件；力；形变
cmn-Latn-CN	fùhè, hèzài, jiégòu hèzhòng, zàihè, zàizhòng	Kāipǔlè dìyī dìnglǜ, guǐdào dìnglǜ, tuǒyuán dìnglǜ; jiégòu gòujiàn; lì; xíngbiàn
dan-Latn-DK		; ; ; 
deu-Latn-DE	Lastannahme	Deformation, Verformung, Verzerrung; Kraft [f]; Tragelement; erstes keplersches Gesetz
eng-Latn-US	structural action, structural load	Kepler’s first law; deformation; force; structural element
fin-Latn-FI		; ; ; 
fra-Latn-FR		déformation des matériaux [m-pl]; force; loi des orbites, première loi de Kepler; ossature
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	かじゅう	; だえんきどうのほうそく、ケプラーのだいいちほうそく; ちから; へんけい
jpn-Jpan-JP	荷重	；楕円軌道の法則、ケプラーの第一法則；力；変形
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU		; деформа́ция; зако́н э́ллипсов, пе́рвый зако́н Ке́плера; си́ла
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
