locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	屈服	塑性变形；弹性变形
cmn-Latn-CN	qūfú	sùxìng biànxíng; tánxìng biànxíng
dan-Latn-DK		; 
deu-Latn-DE		; plastische Verformbarkeit
eng-Latn-US	yield	elastic deformation; plastic deformation
fin-Latn-FI		; 
fra-Latn-FR		; déformation plastique
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	こうふく	；そせいへんけい
jpn-Jpan-JP	降伏	；塑性変形
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
