locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	冲量	积分；力
cmn-Latn-CN	chōngliàng	jīfēn; lì
dan-Latn-DK		; 
deu-Latn-DE	Kraftstoß [m]	Integral; Kraft [f]
eng-Latn-US	impulse	force; integral
fin-Latn-FI		; 
fra-Latn-FR	impulsion, percussion	force; intégrale [f]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	りきせき	せきぶん；ちから
jpn-Jpan-JP	力積	積分；力
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	и́мпульс си́лы	интегра́л; си́ла
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
