locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	加速度	；；速度
cmn-Latn-CN	jiāsùdù	; ; sùdù
dan-Latn-DK		; ; 
deu-Latn-DE	Beschleunigung	; ; Geschwindigkeit
eng-Latn-US	acceleration	rate; time; velocity
fin-Latn-FI		; ; 
fra-Latn-FR	accélération	; ; vecteur vitesse, vélocité
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	かそくど	; ; そくど
jpn-Jpan-JP	加速度	；；速度
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	ускоре́ние	; ; ско́рость
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ	bba, veca	
