locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	弹性势能	势能、位能；弹性变形
cmn-Latn-CN	tánxìng shìnéng	shìnéng, wèìnéng; tánxìng biànxíng
dan-Latn-DK		; 
deu-Latn-DE	Formänderungsenergie, Verformungsenergie, Verzerrungsenergie, elastische Energie	; Lageenergie, potentielle Energie, potenzielle Energie
eng-Latn-US	elastic energy	elastic deformation; potential energy
fin-Latn-FI		; 
fra-Latn-FR	énergie potentielle élastique	; énergie potentielle
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	だんせいエネルギー	；いちエネルギー
jpn-Jpan-JP	弾性エネルギー	；位置エネルギー
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	упру́гая потенциа́льная эне́ргия	; потенциа́льная эне́ргия
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
