locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	直线运动	；运动
cmn-Latn-CN	zhíxiàn yùndòng	; yùndòng
dan-Latn-DK		; 
deu-Latn-DE	gradlinige Bewegung, lineare Bewegung	; Bewegung
eng-Latn-US	linear motion, rectilinear motion	line; motion
fin-Latn-FI		; 
fra-Latn-FR	mouvement rectiligne	; mouvement
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ちょくどうせんうんどう	；うんどう
jpn-Jpan-JP	直動線運動	；運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	прямолине́йное движе́ние	; движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
