locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	简谐运动	；；力；振动
cmn-Latn-CN	jiǎnxié yùndòng	; ; lì; zhèndòng
dan-Latn-DK		; ; ; 
deu-Latn-DE	harmonische Bewegung, harmonische Schwingung	; ; Erschütterung, Vibration; Kraft [f]
eng-Latn-US	simple harmonic motion	direct proportinality; displacement; force; vibration
fin-Latn-FI		; ; ; 
fra-Latn-FR	mouvement harmonique simple	; ; force; vibration
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	たんしんどう、ちょうわしんどう	; ; しんどう; ちから
jpn-Jpan-JP	単振動、調和振動	；；振動；力
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	гармони́ческие колеба́ния	; ; вибра́ция; си́ла
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
