locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	速率	；；；物理实体、物体
cmn-Latn-CN	sùlǜ	; ; ; wùlǐ shítǐ, wùtǐ
dan-Latn-DK		; ; ; 
deu-Latn-DE	Schnelligkeit	; ; ; physikalischer Körper
eng-Latn-US	speed	magnitude; physical body, physical object; position; time
fin-Latn-FI		; ; ; 
fra-Latn-FR	vitesse	; ; ; corps [m] physique
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	はやさ	; ; ; ぶったい
jpn-Jpan-JP	速さ	；；；物体
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	ско́рость движе́ния	; ; ; те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ	v	
