locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	匀加速度圆周运动	开普勒第一定律、轨道定律、椭圆定律；圆周运动
cmn-Latn-CN	yún jiāsùdù yuánzhōu yùndòng	Kāipǔlè dìyī dìnglǜ, guǐdào dìnglǜ, tuǒyuán dìnglǜ; yuánzhōu yùndòng
dan-Latn-DK		; 
deu-Latn-DE	gleichmäßig beschleunigte Kreisbewegung	Kreisbewegung; erstes keplersches Gesetz
eng-Latn-US	uniformly accelerated circular motion	Kepler’s first law; circular motion
fin-Latn-FI		; 
fra-Latn-FR	mouvement circulaire uniformément accéléré	loi des orbites, première loi de Kepler; mouvement circulaire
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	とうかそくどえんうんどう	えんうんどう；だえんきどうのほうそく、ケプラーのだいいちほうそく
jpn-Jpan-JP	等加速度円運動	円運動；楕円軌道の法則、ケプラーの第一法則
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	равноуско́ренное кругово́е движе́ние	зако́н э́ллипсов, пе́рвый зако́н Ке́плера; кругово́е движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
