locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	力偶	；力矩
cmn-Latn-CN	lì'ǒu	; lìjǔ
dan-Latn-DK		; 
deu-Latn-DE	Kraftpaar [n], Kräftepaar [n]	; Drehmoment, Kraftmoment, Moment
eng-Latn-US	couple, force couple, pure moment	moment of force, torque; resultant force
fin-Latn-FI		; 
fra-Latn-FR	couple [m], couple [m] de forces [f-pl]	; moment d’une force
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ぐうりょく	；トルク
jpn-Jpan-JP	偶力	；トルク
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	па́ра сил	; вертя́щий момент, враща́тельный момент, враща́ющий момент, кру́тящий момент, моме́нт си́лы, моме́нт си́лы относи́тельно то́чки, скру́чивающий момент
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	bbtau, vectau	
