locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	合力	；；力；力矩
cmn-Latn-CN	hélì	lì; lìjǔ; ; 
dan-Latn-DK		; ; ; 
deu-Latn-DE	resultierende Kraft	; ; Drehmoment, Kraftmoment, Moment; Kraft [f]
eng-Latn-US	net force, resultant force	force; moment of force, torque; rigid body; vector addition
fin-Latn-FI		; ; ; 
fra-Latn-FR	force résultante	; ; force; moment d’une force
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	ごうりき	ちから; トルク; ; 
jpn-Jpan-JP	合力	；；力；トルク
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU		; ; вертя́щий момент, враща́тельный момент, враща́ющий момент, кру́тящий момент, моме́нт си́лы, моме́нт си́лы относи́тельно то́чки, скру́чивающий момент; си́ла
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
