locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	刚体	物理实体、物体；形变
cmn-Latn-CN	gāngtǐ	wùlǐ shítǐ, wùtǐ; xíngbiàn
dan-Latn-DK		; 
deu-Latn-DE	Starrkörper, starrer Körper	Deformation, Verformung, Verzerrung; physikalischer Körper
eng-Latn-US	rigid body, rigid object	deformation; physical body, physical object
fin-Latn-FI		; 
fra-Latn-FR	modèle [m] du solide [m] indéformable	corps [m] physique; déformation des matériaux [m-pl]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ごうたい	ぶったい; へんけい
jpn-Jpan-JP	剛体	物体；変形
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	абсолю́тно твёрдое те́ло	деформа́ция; те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
