locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	第二宇宙速度	逃逸速度
cmn-Latn-CN	dì’èr yǔzhòu sùdù	táoyì sùdù
dan-Latn-DK		
deu-Latn-DE	zweite kosmische Geschwindigkeit 	Entweichgeschwindigkeit, Fluchtgeschwindigkeit
eng-Latn-US	second cosmic velocity	escape velocity
fin-Latn-FI		
fra-Latn-FR	deuxième vitesse cosmique	vitesse de libération
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいにうちゅうそくど	だっしゅつそくど
jpn-Jpan-JP	第二宇宙速度	脱出速度
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	втора́я косми́ческая ско́рость, параболи́ческая ско́рость, ско́рость освобожде́ния	втора́я косми́ческая ско́рость
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
