locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	系统误差	；测量误差、观测误差
cmn-Latn-CN	xìtǒng wùchā	; cèliáng wùchā, guāncè wùchā
dan-Latn-DK		; 
deu-Latn-DE	systematische Messabweichung	; Messabweichung
eng-Latn-US	statistical bias, systematic error	measurement error, observational error; time-invariant system
fin-Latn-FI		; 
fra-Latn-FR	erreur [f] systématique	; erreur de mesure
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	けいとうごさ	; けいそくきき
jpn-Jpan-JP	系統誤差	；計測機器
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	системати́ческая погре́шность	; погре́шность измере́ния
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
