locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	核链式反应	；链反应、连锁反应
cmn-Latn-CN	hé liànshì fǎnyìng	; liànfǎnyìng, liánsuǒ fǎnyìng
dan-Latn-DK		; 
deu-Latn-DE	Kernkettenreaktion	; Kettenreaktion
eng-Latn-US	nuclear chain reaction	chain reaction; nuclear reaction
fin-Latn-FI		; 
fra-Latn-FR		; réaction en chaîne [f]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	げんしかくれんさはんのう	; れんさはんのう
jpn-Jpan-JP	原子核連鎖反応	；連鎖反応
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	цепна́я я́дерная реа́кция	; цепна́я реа́кция
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
