locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	入射角	；；
cmn-Latn-CN	rùshèjiǎo	; ; 
dan-Latn-DK		; ; 
deu-Latn-DE	Einfallswinkel, Inzidenzwinkel	; ; Grenzfläche [f-pl]
eng-Latn-US	angle of incidence (optics)	interface; optical medium; wavefront
fin-Latn-FI		; ; 
fra-Latn-FR	angle [m] d’incidence	; ; 
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	にゅうしゃかく	; ; かいめん
jpn-Jpan-JP	入射角	；；界面
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; грани́ца разде́ла
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
