locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	红外线	；；暗盒、暗箱
cmn-Latn-CN	hóngwàixiàn	ànhé, ànxiāng; ; 
dan-Latn-DK		; ; 
deu-Latn-DE	Infrarotstrahlung	; ; Camera [f] obscura
eng-Latn-US	infrared	camera obscura [camerae obscurae]; electromagnetic radiation; spatial period, wavelength
fin-Latn-FI		; ; 
fra-Latn-FR	infrarouge [m]	; ; chambre noire
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	せきがいせん	カメラ・オブスクラ; ; 
jpn-Jpan-JP	赤外線	；；カメラ・オブスクラ
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	инфракра́сное излуче́ние	; ; ка́мера-обску́ра
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
