locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	PH图、压焓图	
cmn-Latn-CN	PH tú, yāhántú	
dan-Latn-DK		
deu-Latn-DE	Druck-Enthalpie-Diagramm [n], P-H-Diagram [n]	
eng-Latn-US	P–H diagram, pressure–enthalpy diagram	
fin-Latn-FI		
fra-Latn-FR	diagramme [m] P-H, diagramme [m] pression-enthalpie	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	あつりょくーエンタルピーず、ピーエイチせんず	
jpn-Jpan-JP	圧力-エンタルピー図、PH線図	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	PH-диагра́мма, диагра́мма давле́ние-энтальпийно	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
