locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	无矛盾律、矛盾律	思维规律、思考规律
cmn-Latn-CN	máodùn lǜ, wú máodùn lǜ	sīkǎo guīlǜ, sīwéi guīlǜ
dan-Latn-DK		
deu-Latn-DE	Satz [m] vom Widerspruch, Satz [m] vom ausgeschlossenen Widerspruch	Denkgesetz [n]
eng-Latn-US	law of contradiction, law of non-contradiction, principle of contradiction, principle of non-contradiction	law of thought
fin-Latn-FI		
fra-Latn-FR	principe [m] de contradiction, principe [m] de non-contradiction	loi [f] de la pensée
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	むじゅんりつ、むむじゅんりつ	しこうのげんり
jpn-Jpan-JP	矛盾律、無矛盾律	思考の原理
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н непротиворечия, зако́н противоречия	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
