locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	排中律	思维规律、思考规律
cmn-Latn-CN	páizhōng lǜ	sīkǎo guīlǜ, sīwéi guīlǜ
dan-Latn-DK		
deu-Latn-DE	Satz [m] vom ausgeschlossenen Dritten	Denkgesetz [n]
eng-Latn-US	law of excluded middle, law of the excluded third, principle of excluded middle, principle of the excluded third	law of thought
fin-Latn-FI		
fra-Latn-FR	principe [m] du tiers exclu	loi [f] de la pensée
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	はいちゅうりつ	しこうのげんり
jpn-Jpan-JP	排中律	思考の原理
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н исключённого тре́тьего	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
