locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	不可约多项式	因式分解；多项式
cmn-Latn-CN	bùkěyuē duōxiàngshì	yīnshì fēnjiě; duōxiàng shì
dan-Latn-DK		; 
deu-Latn-DE	irreduzibles Polynom	Faktorisierung; Polynom [n]
eng-Latn-US	irreducible polynomial	factoring, factorization; polynomial
fin-Latn-FI		; 
fra-Latn-FR	polynôme [m] irréductible	factorisation; polynôme [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	きやくたこうしき	; たこうしき
jpn-Jpan-JP	既約多項式	；多項式
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	неприводимый многочле́н	; многочле́н, полино́м
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
