locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	钝角三角形	；钝角三角形
cmn-Latn-CN	dùnjiǎo sānjiǎoxíng	; dùnjiǎo sānjiǎoxíng
dan-Latn-DK		; 
deu-Latn-DE	stumpfwinkliges Dreieck	; stumpfwinkliges Dreieck
eng-Latn-US	obtuse triangle	oblique angle; obtuse triangle
fin-Latn-FI		; 
fra-Latn-FR	triangle [m] amblygone, triangle [m] obtus, triangle obtusangle [m]	; triangle [m] amblygone, triangle [m] obtus, triangle obtusangle [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	どんかくさんかくけい	; どんかくさんかくけい
jpn-Jpan-JP	鈍角三角形	；鈍角三角形
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
