locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	补集	集、集合
cmn-Latn-CN	bǔ jí	jí, jíhé
dan-Latn-DK		
deu-Latn-DE	Komplement	Menge
eng-Latn-US	complement, set difference	set
fin-Latn-FI		
fra-Latn-FR	complémentaire [m]	ensemble [m]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	差集合	しゅうごう
jpn-Jpan-JP	さしゅうごう	集合
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	ра́зность мно́жеств	мно́жество
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
