locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	函数	二元关系；集、集合
cmn-Latn-CN	hán shù	èryuán guānxi; jí, jíhé
dan-Latn-DK		; 
deu-Latn-DE	Funktion	binäre Relation; Menge
eng-Latn-US	function	binary relation; set
fin-Latn-FI		; 
fra-Latn-FR	fonction	relation binaire; ensemble [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		; しゅうごう
jpn-Jpan-JP		；集合
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; мно́жество
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
