locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN		二元关系；类；空集；
cmn-Latn-CN		èryuán guānxi; lèi; kōng jí; 
dan-Latn-DK		; ; ; 
deu-Latn-DE		binäre Relation; Klasse; leere Menge; 
eng-Latn-US	well-founded relation	binary relation; class; empty set; minimal element
fin-Latn-FI		; ; ; 
fra-Latn-FR		relation binaire; classe [f]; ensemble vide; 
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP		; るい、クラス; くうしゅうごう; 
jpn-Jpan-JP		；類、クラス；空集合；
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU		; класс; пусто́е мно́жество; 
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
