locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	加数	加法
cmn-Latn-CN	jiā shù	jiā fǎ
dan-Latn-DK		
deu-Latn-DE	Summand [m]	Addition
eng-Latn-US	addend, summand	addition
fin-Latn-FI		
fra-Latn-FR	cumulateur	addition
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かすう（加数） [2]	かさん、かほう、たしざん、よせざん
jpn-Jpan-JP	加数	加算、加法、足し算、寄せ算
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	слага́емое	прибавле́ние, сложе́ние
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
