locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	反对数	对数（运算）
cmn-Latn-CN	fǎn duìshù	duì shù (yùn suàn)
dan-Latn-DK		
deu-Latn-DE		Logarithmus (Operation)
eng-Latn-US	antilogarithm	logarithm (operation)
fin-Latn-FI		
fra-Latn-FR		logarithme [m] (opération)
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しんすう	たいすう（えんざん）
jpn-Jpan-JP	真数	対数（演算）
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		логари́фм (опера́ция)
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
