locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	被加数	加法；算术运算数、算术运算元
cmn-Latn-CN	bèijiā shù	jiā fǎ; suànshù yùnsuànshù, suànshù yùnsuànyuán
dan-Latn-DK		; 
deu-Latn-DE	erster Summand	Addition; arithmetischer Operand
eng-Latn-US	augend, summand	addition; arithmetic operand
fin-Latn-FI		; 
fra-Latn-FR	cumulande [m]	addition; opérandeopérande arithmétique
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ひかすう	かさん、かほう、たしざん、よせざん; さんじゅつえんざんし
jpn-Jpan-JP	被加数	加算、加法、足し算、寄せ算；算術演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	пе́рвое слага́емое	прибавле́ние, сложе́ние; арифмети́ческий опера́нд
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
