locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	底数（对数）、基数（对数）	对数（运算）
cmn-Latn-CN	dǐ shù (duì shù), jī shù (duì shù)	duì shù (yùn suàn)
dan-Latn-DK		
deu-Latn-DE	Basis [f] (Logarithmus)	Logarithmus (Operation)
eng-Latn-US	base (logarithm)	logarithm (operation)
fin-Latn-FI		
fra-Latn-FR	base [f] (logarithme)	logarithme [m] (opération)
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	てい（たいすうえんざん）	たいすう（えんざん）
jpn-Jpan-JP	底（対数演算）	対数（演算）
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	основа́нием (логари́фм)	логари́фм (опера́ция)
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
