locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	积	乘法；运算数、运算元
cmn-Latn-CN	jī	chéngfǎ; yùnsuàn shù, yùnsuàn yuán
dan-Latn-DK		; 
deu-Latn-DE	Produkt [n]	Multiplikation; Operand [m]
eng-Latn-US	product	multiplication; operand
fin-Latn-FI		; 
fra-Latn-FR	produit	multiplication; opérande [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	せき	じょうほう; ひえんざんし
jpn-Jpan-JP	積	乗法；被演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	произведе́ние	умноже́ние; опера́нд
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
