locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	埃及分数	和；单位分数、分数单位
cmn-Latn-CN	Āijí fēnshù	hé; dānwèi fēnshù, fēnshù dānwèi
dan-Latn-DK		; 
deu-Latn-DE	Stammbruchzerlegung	Summe; Stammbruch [m]
eng-Latn-US	Egyptian fraction	sum; unit fraction
fin-Latn-FI		; 
fra-Latn-FR	fraction égyptienne	somme [f]; fraction unitaire
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	エジプトしきぶんすう、エジプトぶんすう	わ; たんいぶんすう
jpn-Jpan-JP	エジプト式分数、エジプト分数	和；単位分数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	еги́петская дробь	су́мма; аликво́тная дробь, до́ля едини́цы
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
