locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	连分数、繁分数	整数；；乘法逆元、倒数
cmn-Latn-CN	fán fēnshù, lián fēnshù	zhěng shù; ; chéngfǎ nìyuán, dào shù
dan-Latn-DK		; ; 
deu-Latn-DE	Kettenbruch [m]	Ganzzahl [f], ganze Zahl; ; Kehrwert [m], Reziproke [n], reziprokes Wert
eng-Latn-US	continued fraction	integer; iteration; multiplicative inverse, reciprocal
fin-Latn-FI		; ; 
fra-Latn-FR	fraction continue	enti; ; inverse [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	れんぶんすう	せいすう; ; ぎゃくすう
jpn-Jpan-JP	連分数	整数；；逆数
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	непреры́вная дробь, цепна́я дробь	це́лое число́; ; обра́тное число́
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
