locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	有限连分数	连分数、繁分数
cmn-Latn-CN	yǒuxiàn liánfēnshù	fán fēnshù, lián fēnshù
dan-Latn-DK		
deu-Latn-DE	endlicher Kettenbruch	Kettenbruch [m]
eng-Latn-US	finite continued fraction, terminated continued fraction	continued fraction
fin-Latn-FI		
fra-Latn-FR	fraction continue finie	fraction continue
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ゆうげんれんぶんすう	れんぶんすう
jpn-Jpan-JP	有限連分数	連分数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	коне́чная цепна́я дробь	непреры́вная дробь, цепна́я дробь
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
