locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	互反函数	函数；乘法逆元、倒数
cmn-Latn-CN	hùfǎn hánshù	hán shù; chéngfǎ nìyuán, dào shù
dan-Latn-DK		; 
deu-Latn-DE	Reziprokfunktion, reziproke Funktion	Funktion; Kehrwert [m], Reziproke [n], reziprokes Wert
eng-Latn-US	reciprocal function	function; multiplicative inverse, reciprocal
fin-Latn-FI		; 
fra-Latn-FR		fonction; inverse [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		; ぎゃくすう
jpn-Jpan-JP		；逆数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; обра́тное число́
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
