locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	单位分数、分数单位	分母
cmn-Latn-CN	dānwèi fēnshù, fēnshù dānwèi	fēn mǔ
dan-Latn-DK		
deu-Latn-DE	Stammbruch [m]	Nenner
eng-Latn-US	unit fraction	denominator
fin-Latn-FI		
fra-Latn-FR	fraction unitaire	dénominateur
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	たんいぶんすう	ぶんぼ
jpn-Jpan-JP	単位分数	分母
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	аликво́тная дробь, до́ля едини́цы	знамена́тель
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
