locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	乘法逆元、倒数	乘法；
cmn-Latn-CN	chéngfǎ nìyuán, dào shù	chéngfǎ; 
dan-Latn-DK		; 
deu-Latn-DE	Kehrwert [m], Reziproke [n], reziprokes Wert	Multiplikation; 
eng-Latn-US	multiplicative inverse, reciprocal	multiplication; reciprocation
fin-Latn-FI		; 
fra-Latn-FR	inverse [m]	multiplication; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ぎゃくすう	じょうほう; 
jpn-Jpan-JP	逆数	乗法；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	обра́тное число́	умноже́ние; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
