locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	乘法表	乘法
cmn-Latn-CN	chéngfǎ biǎo	chéngfǎ
dan-Latn-DK		
deu-Latn-DE	Einmaleins [n]	Multiplikation
eng-Latn-US	multiplication table	multiplication
fin-Latn-FI		
fra-Latn-FR	table [f] de multiplication	multiplication
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	くく	じょうほう
jpn-Jpan-JP	九九	乗法
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	табли́ца Пифаго́ра, табли́ца умноже́ния	умноже́ние
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
