locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	复数	虚数；实数
cmn-Latn-CN	fù shù	xū shù; shí shù
dan-Latn-DK		; 
deu-Latn-DE	komplexe Zahl	imaginäre Zahl; reelle Zahl
eng-Latn-US	complex number	imaginary number; real number
fin-Latn-FI		; 
fra-Latn-FR	nombre [m] complexe	nombre [m] imaginaire; nombre réel
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ふくそすう	きょすう; じっすう
jpn-Jpan-JP	複素数	虚数；実数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ко́мплексное/компле́ксное число́	мни́мое число́; веще́ственное числó
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	CC, م	
