locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	合数、合成数	乘法；正数
cmn-Latn-CN	hé shù, héchéng shù	chéngfǎ; zhèng shù
dan-Latn-DK		; 
deu-Latn-DE	zusammengesetzte Zahl	Multiplikation; positive Zahl
eng-Latn-US	composite number	multiplication; positive number
fin-Latn-FI		; 
fra-Latn-FR	nombre [m] composé	multiplication; nombre positif
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ごうせいすう	じょうほう; せいすう、せいのすう
jpn-Jpan-JP	合成数	乗法；正数、正の数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	составно́е число́	умноже́ние; число́ положи́тельно
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
