locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	常数、定数	数
cmn-Latn-CN	cháng shù, dìng shù	shù
dan-Latn-DK		
deu-Latn-DE	Festwert [m], Konstante	Zahl [f] (abstrakte Identität)
eng-Latn-US	constant	number (abstract identity)
fin-Latn-FI		
fra-Latn-FR	constante [f]	nombre [m]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じょうすう、ていすう	かず
jpn-Jpan-JP	常数、定数	数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	конста́нта, постоя́нная	число́ (абстра́ктная иденти́чность)
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
