locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	自然数	整数；非负数；；正数
cmn-Latn-CN	zìrán shù	zhěng shù; fēifù shù; ; zhèng shù
dan-Latn-DK		; ; ; 
deu-Latn-DE	natürliche Zahl	Ganzzahl [f], ganze Zahl; nichtnegative Zahl; ; positive Zahl
eng-Latn-US	counting number, natural number	integer; non-negative number; number set, number system; positive number
fin-Latn-FI		; ; ; 
fra-Latn-FR	entier naturel	enti; nombre [m] non négatif; ; nombre positif
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	しぜんすう	せいすう; ふでないすう; ; せいすう、せいのすう
jpn-Jpan-JP	自然数	整数；負でない数；；正数、正の数
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	натура́льное число́	це́лое число́; неотрица́тельное число́; ; число́ положи́тельно
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ	NN, ط	
