locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	虚数	虚数单位；实数
cmn-Latn-CN	xū shù	xūshù dānwèi; shí shù
dan-Latn-DK		; 
deu-Latn-DE	imaginäre Zahl	imaginäre Einheit; reelle Zahl
eng-Latn-US	imaginary number	imaginary unit, unit imaginary number; real number
fin-Latn-FI		; 
fra-Latn-FR	nombre [m] imaginaire	unité imaginaire; nombre réel
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	きょすう	きょすうたんい; じっすう
jpn-Jpan-JP	虚数	虚数単位；実数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	мни́мое число́	мни́мая едини́ца; веще́ственное числó
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	II, frI, ت	
