locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	整数	自然对数；；正数；零
cmn-Latn-CN	zhěng shù	zìrán duìshù; ; zhèng shù; líng
dan-Latn-DK		; ; ; 
deu-Latn-DE	Ganzzahl [f], ganze Zahl	negative Zahl; ; positive Zahl; Null [f]
eng-Latn-US	integer	negative number; number set, number system; positive number; zero
fin-Latn-FI		; ; ; 
fra-Latn-FR	enti	nombre [m] négatif; ; nombre positif; zéro [m]
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	せいすう	ふのすう; ; せいすう、せいのすう; れい、ゼロ
jpn-Jpan-JP	整数	負の数；；正数、正の数；零、ゼロ
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	це́лое число́	отрица́тельное число́; ; число́ положи́тельно; ноль [м], нуль [м]
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ	ZZ, ص	
