locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	无理数	有理数；实数
cmn-Latn-CN	wúlǐ shù	yǒulǐ shù; shí shù
dan-Latn-DK		; 
deu-Latn-DE	irrationale Zahl	rationale Zahl; reelle Zahl
eng-Latn-US	irrational number	rational number; real number
fin-Latn-FI		; 
fra-Latn-FR	nombre irrationnel	nombre rationnel; nombre réel
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	むりすう	ゆうりすう; じっすう
jpn-Jpan-JP	無理数	有理数；実数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	иррациона́льное число́	рационáльное числó; веще́ственное числó
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
