locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	连乘、累乘	乘法；序列
cmn-Latn-CN	lián chéng, lěi chéng	chéngfǎ; xù liè
dan-Latn-DK		; 
deu-Latn-DE		Multiplikation; Folge, Sequenz
eng-Latn-US	accumulative multiplication	multiplication; sequence
fin-Latn-FI		; 
fra-Latn-FR		multiplication; suite [f] (mathématiques)
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		じょうほう; れつ（すうがく）
jpn-Jpan-JP		乗法；列（数学）
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		умноже́ние; после́довательность
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	prod	
