locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	等差数列、算术数列	；序列
cmn-Latn-CN	děngchā shùliè, suànshù shùliè	; xù liè
dan-Latn-DK		; 
deu-Latn-DE	arithmetische Folge, arithmetische Progression	; Folge, Sequenz
eng-Latn-US	arithmetic progression, arithmetic sequence	mathematical constant; sequence
fin-Latn-FI		; 
fra-Latn-FR	croissance linéaire, progression arithmétique, suite [f] arithmétique	; suite [f] (mathématiques)
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	さんじゅつすうれつ、とうさすうれつ	; れつ（すうがく）
jpn-Jpan-JP	算術数列、等差数列	；列（数学）
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	арифмети́ческая прогре́ссия	; после́довательность
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
