locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	四则运算	加法；除法；乘法；减法
cmn-Latn-CN	sìzé yùnsuàn	jiā fǎ; chú fǎ; chéngfǎ; jiǎn fǎ
dan-Latn-DK		; ; ; 
deu-Latn-DE	Grundrechenarten [f-pl], Grundrechnungsarten [f-pl]	Addition; Division; Multiplikation; Subtraktion
eng-Latn-US	basic operations	addition; division; multiplication; subtraction
fin-Latn-FI		; ; ; 
fra-Latn-FR	opérations élémentaires	addition; division; multiplication; soustraction
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	しそくえんざん	かさん、かほう、たしざん、よせざん; じょざん、じょほう、わりざん; じょうほう; げんぽう
jpn-Jpan-JP	四則演算	加算、加法、足し算、寄せ算；除算、除法、割り算；乗法；減法
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ تَفریق، مِنها
por-Latn-PT		; ; ; 
rus-Cyrl-RU	основны́м де́йствиям	прибавле́ние, сложе́ние; деле́ние; умноже́ние; вычита́ние
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
