locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	混循环小数	循环节
cmn-Latn-CN	hùn xúnhuán xiǎoshù	xúnhuán jié
dan-Latn-DK		
deu-Latn-DE		Periode
eng-Latn-US	mixed recurring decimal, mixed repeating decimal	repetend, reptend
fin-Latn-FI		
fra-Latn-FR		période [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	こんごうじゅんかんしょうすう	じゅんかんぜつ
jpn-Jpan-JP	混合循環小数	循環節
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		пери́одом
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
