locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	奇偶性	自然数；余数
cmn-Latn-CN	jī’ǒu xìng	zìrán shù; yú shù
dan-Latn-DK		; 
deu-Latn-DE	Parität	natürliche Zahl; Rest [m], Teilungsrest [m]
eng-Latn-US	parity	counting number, natural number; remainder
fin-Latn-FI		; 
fra-Latn-FR		entier naturel; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		しぜんすう; じょうよ
jpn-Jpan-JP		自然数；剰余
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		натура́льное число́; оста́ток
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
