locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	纯循环小数	循环节
cmn-Latn-CN	chún xúnhuán xiǎoshù	xúnhuán jié
dan-Latn-DK		
deu-Latn-DE		Periode
eng-Latn-US	pure recurring decimal, pure repeating decimal	repetend, reptend
fin-Latn-FI		
fra-Latn-FR		période [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅんじゅんかんしょうすう	じゅんかんぜつ
jpn-Jpan-JP	純循環小数	循環節
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		пери́одом
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
