locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	贝叶斯定理	事件、随机事件
cmn-Latn-CN	Bèiyèsī dìnglǐ	shì jiàn, suíjī shìjiàn
dan-Latn-DK		
deu-Latn-DE	Formel [f] von Bayes, Satz [m] von Bayes	Ereignis, Zufallsereignis
eng-Latn-US	Bayes’ law, Bayes’ rule, Bayes’ theorem	event
fin-Latn-FI		
fra-Latn-FR	théorème de Bayes	événement
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ベイズのていり、ベイズのほうそく	じしょう
jpn-Jpan-JP	ベイズの定理、ベイズの法則	事象
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма Ба́йеса, фо́рмула Ба́йеса	случа́йное собы́тие
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
